Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),TDP(W),Cache Info,Integrated Graphics
Core i3-3210M,Discontinued,Q2'12,2,4,22,3.10,2.50,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3612QM,Discontinued,Q2'12,4,8,22,3.10,2.10,35,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3470S,Discontinued,Q2'12,4,4,22,3.60,2.90,65,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3470,Discontinued,Q2'12,4,4,22,3.60,3.20,77,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-2115C,Launched,Q2'12,2,4,N/A,N/A,2.00,25,3,Intel Smart Cache,N/A
Core i5-3350P,Discontinued,Q3'12,4,4,22,3.30,3.10,69,6,Intel Smart Cache,N/A
Core i3-2365M,Discontinued,Q3'12,2,4,32,N/A,1.40,17,3,Intel Smart Cache,Yes (Name Unknown)
Core i7-3840QM,Discontinued,Q3'12,4,8,22,3.80,2.80,45,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3740QM,Discontinued,Q3'12,4,8,22,3.70,2.70,45,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-2328M,Discontinued,Q3'12,2,4,32,N/A,2.20,35,3,N/A,Intel HD 3000 Graphics
Core i3-3210,Discontinued,Q1'13,2,4,22,N/A,3.20,55,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i7-3540M,Discontinued,Q1'13,2,4,22,3.70,3.00,35,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3380M,Discontinued,Q1'13,2,4,22,3.60,2.90,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3340M,Discontinued,Q1'13,2,4,22,3.40,2.70,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3687U,Discontinued,Q1'13,2,4,22,3.30,2.10,17,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3437U,Discontinued,Q1'13,2,4,22,2.90,1.90,17,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3632QM,Discontinued,Q3'12,4,8,22,3.20,2.20,35,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3630QM,Discontinued,Q3'12,4,8,22,3.40,2.40,45,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3635QM,Discontinued,Q3'12,4,8,22,3.40,2.40,45,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3120M,Discontinued,Q3'12,2,4,22,N/A,2.50,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3632QM,Discontinued,Q3'12,4,8,22,3.20,2.20,35,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3229U,Discontinued,Q1'13,2,4,22,N/A,1.40,13,3,N/A,Intel HD 4000 Graphics
Core i5-3339Y,Discontinued,Q1'13,2,4,22,2.00,1.50,13,3,N/A,Intel HD 4000 Graphics
Core i5-3439Y,Discontinued,Q1'13,2,4,22,2.30,1.50,13,3,N/A,Intel HD 4000 Graphics
Core i7-3689Y,Discontinued,Q1'13,2,4,22,2.60,1.50,13,4,N/A,Intel HD 4000 Graphics
Core i7-3537U,Discontinued,Q1'13,2,4,22,3.10,2.00,17,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3337U,Discontinued,Q1'13,2,4,22,2.70,1.80,17,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3230M,Discontinued,Q1'13,2,4,22,3.20,2.60,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3227U,Discontinued,Q1'13,2,4,22,N/A,1.90,17,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3130M,Discontinued,Q1'13,2,4,22,N/A,2.60,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3230M,Discontinued,Q1'13,2,4,22,3.20,2.60,35,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-2375M,Discontinued,Q1'13,2,4,32,N/A,1.50,17,3,Intel Smart Cache,Yes (Name Unknown)
Core i3-2348M,Discontinued,Q1'13,2,4,32,N/A,2.30,35,3,Intel Smart Cache,Intel HD 3000 Graphics
Core i3-3250,Discontinued,Q2'13,2,4,22,N/A,3.50,55,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3250T,Discontinued,Q2'13,2,4,22,N/A,3.00,35,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3245,Discontinued,Q2'13,2,4,22,N/A,3.40,55,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3340,Discontinued,Q3'13,4,4,22,3.30,3.10,77,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3340S,Discontinued,Q3'13,4,4,22,3.30,2.80,65,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3115C,Launched,Q3'13,2,4,22,N/A,2.50,25,4,L3 Cache,N/A
